s3BucketName,date,spaceUsed
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-16,19983504
capgemini-s3,2026-02-16,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-16,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-16,86076714
coolify-raspi5-02,2026-02-16,0
coolify-scraper-backup,2026-02-16,6505591
docker-volume-backup-coolify-6,2026-02-16,4318588183
docker-volume-backup-open-webui-raspi2,2026-02-16,3404287625
docker-volume-backup-owncloud-raspi2,2026-02-16,1113846782
docker-volume-backup-paperless-raspi2,2026-02-16,60517924
nextcloud.xtra.tools,2026-02-16,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-16,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-16,1002551
schminkel-chatbot-files,2026-02-16,30904152
schminkel-comfyui,2026-02-16,23213253
schminkel-coolify-116.203.89.76,2026-02-16,0
schminkel-coolify-5.75.142.123,2026-02-16,21259489
schminkel-coolify-91.99.8.91,2026-02-16,49416010
schminkel-coolify-94.130.56.167,2026-02-16,304330503
schminkel-de,2026-02-16,2117905930
schminkel-de-2026,2026-02-16,12151665
schminkel-de-backups,2026-02-16,4669335505
schminkel-digital,2026-02-16,19412748
schminkel-dynamodb-exports,2026-02-16,5116
schminkel-email,2026-02-16,504263
schminkel-email-plaintext,2026-02-16,29155
schminkel-email-thorsten-schminkel-digital,2026-02-16,654017
schminkel-ente,2026-02-16,2995293104
schminkel-favicon-bucket,2026-02-16,294839
schminkel-lambda-layer,2026-02-16,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-16,1208758227
schminkel-payload-3.0,2026-02-16,62745372
schminkel-payload-demo-3.0,2026-02-16,0
schminkel-payload-digital,2026-02-16,42663578
schminkel-payload-financials,2026-02-16,2764837
schminkel-payload-financials-dev,2026-02-16,2758654
schminkel-payload-financials-local,2026-02-16,2778017
schminkel-payload-lightgallery,2026-02-16,405906771
schminkel-payload-lightgallery-dev,2026-02-16,482610112
schminkel-photo-gallery,2026-02-16,119778256
schminkel-photo-net,2026-02-16,80255909
schminkel-photos,2026-02-16,1766315955
schminkel-public,2026-02-16,2005363
schminkel-test-lambda-bucket,2026-02-16,43293554
schminkel-transcribe-audio-input-bucket,2026-02-16,15690254
schminkel-transcribe-audio-output-bucket,2026-02-16,178578
schminkel-transcription,2026-02-16,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-16,1023336
all,2026-02-16,23564703745
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-17,19983504
capgemini-s3,2026-02-17,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-17,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-17,86076714
coolify-raspi5-02,2026-02-17,0
coolify-scraper-backup,2026-02-17,6505591
docker-volume-backup-coolify-6,2026-02-17,4328087160
docker-volume-backup-open-webui-raspi2,2026-02-17,3404287628
docker-volume-backup-owncloud-raspi2,2026-02-17,1113852528
docker-volume-backup-paperless-raspi2,2026-02-17,60517929
nextcloud.xtra.tools,2026-02-17,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-17,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-17,1002551
schminkel-chatbot-files,2026-02-17,30904152
schminkel-comfyui,2026-02-17,23213253
schminkel-coolify-116.203.89.76,2026-02-17,0
schminkel-coolify-5.75.142.123,2026-02-17,21259489
schminkel-coolify-91.99.8.91,2026-02-17,49416010
schminkel-coolify-94.130.56.167,2026-02-17,304330503
schminkel-de,2026-02-17,2117905930
schminkel-de-2026,2026-02-17,12151665
schminkel-de-backups,2026-02-17,4669335505
schminkel-digital,2026-02-17,19412748
schminkel-dynamodb-exports,2026-02-17,5116
schminkel-email,2026-02-17,504263
schminkel-email-plaintext,2026-02-17,29155
schminkel-email-thorsten-schminkel-digital,2026-02-17,654017
schminkel-ente,2026-02-17,2995293104
schminkel-favicon-bucket,2026-02-17,294839
schminkel-lambda-layer,2026-02-17,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-17,1208758227
schminkel-payload-3.0,2026-02-17,62745372
schminkel-payload-demo-3.0,2026-02-17,0
schminkel-payload-digital,2026-02-17,42663578
schminkel-payload-financials,2026-02-17,2764837
schminkel-payload-financials-dev,2026-02-17,2758654
schminkel-payload-financials-local,2026-02-17,2778017
schminkel-payload-lightgallery,2026-02-17,405906771
schminkel-payload-lightgallery-dev,2026-02-17,482610112
schminkel-photo-gallery,2026-02-17,119778256
schminkel-photo-net,2026-02-17,80255909
schminkel-photos,2026-02-17,1766315955
schminkel-public,2026-02-17,2005363
schminkel-test-lambda-bucket,2026-02-17,43293554
schminkel-transcribe-audio-input-bucket,2026-02-17,15690254
schminkel-transcribe-audio-output-bucket,2026-02-17,178578
schminkel-transcription,2026-02-17,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-17,1023336
all,2026-02-17,23574208476
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-18,19983504
capgemini-s3,2026-02-18,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-18,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-18,86076714
coolify-raspi5-02,2026-02-18,0
coolify-scraper-backup,2026-02-18,6505591
docker-volume-backup-coolify-6,2026-02-18,4337394106
docker-volume-backup-open-webui-raspi2,2026-02-18,3404287629
docker-volume-backup-owncloud-raspi2,2026-02-18,1113787877
docker-volume-backup-paperless-raspi2,2026-02-18,60517927
nextcloud.xtra.tools,2026-02-18,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-18,1100999
